type,locality,latitude,longitude,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,lift,gym,internet,ac,club,intercom,pool,cpa,fs,servant,security,sc,gp,park,rwh,stp,hk,pb,vp,activation_day,activation_month,activation_year,Total_amenities
BHK2,Bellandur,12.92955671,77.6722797,ANYONE,1,SEMI_FURNISHED,BOTH,1400,4.0,2.0,NE,2.0,3.0,4.0,CORPORATION,AP,2.0,22000.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,10,9,2017,8
BHK3,Thiruvanmiyur,12.98287026,80.26201214,FAMILY,0,SEMI_FURNISHED,BOTH,1350,6.0,3.0,E,3.0,1.0,5.0,CORP_BORE,AP,3.0,28000.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,6,12,2018,6
BHK1,Attiguppe,12.95599061,77.53163369,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,3.0,1.0,E,1.0,1.0,2.0,CORPORATION,IH,0.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,2018,0
BHK3,Kodihalli,12.96390329,77.64944586,FAMILY,1,SEMI_FURNISHED,BOTH,1500,15.0,3.0,E,4.0,0.0,0.0,CORPORATION,IH,1.0,45000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,31,5,2018,3
BHK1,"Seetharampalya,Hoodi",12.9861959,77.7183141,FAMILY,1,SEMI_FURNISHED,BOTH,1080,0.0,2.0,E,1.0,3.0,5.0,CORP_BORE,AP,2.0,18000.0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,24,10,2017,8
BHK3,"Narayanappa Garden,Whitefield",12.9671442,77.7506621,ANYONE,1,FULLY_FURNISHED,BOTH,1895,5.0,3.0,NE,5.0,3.0,9.0,CORPORATION,AP,3.0,32000.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,12,2018,18
BHK2,HSR Layout 5th Sector,12.91741383,77.63176379,ANYONE,1,SEMI_FURNISHED,BOTH,1000,10.0,2.0,S,2.0,0.0,2.0,CORP_BORE,IH,0.0,22000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,30,7,2018,3
BHK2,Banashankari,12.92330118,77.55632407,ANYONE,0,SEMI_FURNISHED,NONE,900,10.0,2.0,S,2.0,0.0,1.0,CORPORATION,IH,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,26,3,2018,4
BHK2,Whitefield,12.97269719,77.75188033,ANYONE,1,SEMI_FURNISHED,BOTH,1290,4.0,2.0,E,4.0,2.0,4.0,CORP_BORE,AP,2.0,19500.0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,3,10,2018,13
BHK2,RR Nagar,12.91203861,77.51095016,FAMILY,1,SEMI_FURNISHED,BOTH,1200,2.0,2.0,E,4.0,1.0,2.0,CORPORATION,IF,1.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2017,0
BHK2,ITPL Residential Flats,12.9861748,77.7359562,ANYONE,1,FULLY_FURNISHED,FOUR_WHEELER,1300,8.0,2.0,N,2.0,1.0,4.0,CORPORATION,AP,2.0,32000.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,11,5,2017,13
BHK2,Raja Rajeshwari Nagar,12.92503445,77.51711461,ANYONE,1,SEMI_FURNISHED,BOTH,930,7.0,2.0,E,2.0,1.0,4.0,CORPORATION,AP,1.0,11000.0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,27,8,2017,11
BHK2,"Prestige Shanthinikethan, Bengaluru, Karnataka, India",12.9890022,77.7273703,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1418,4.0,2.0,E,2.0,11.0,14.0,CORP_BORE,AP,2.0,32500.0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,10,9,2017,12
BHK1,Murugeshpalya,12.95477496,77.65003747,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,600,10.0,1.0,E,1.0,2.0,2.0,CORPORATION,IH,0.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,5,2018,3
BHK2,Sheshadripuram,12.98651659,77.57478136,FAMILY,1,NOT_FURNISHED,TWO_WHEELER,1200,2.0,1.0,E,0.0,1.0,3.0,CORP_BORE,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11,2018,2
BHK3,Cox Town,12.99852641,77.63100653,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1200,3.0,2.0,E,2.0,1.0,3.0,CORPORATION,IH,2.0,18500.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,15,7,2018,5
BHK3,BTM 2nd Stage,12.9082396,77.6074088,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,E,0.0,1.0,2.0,CORPORATION,IF,1.0,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,2017,0
BHK2,Chikkakannalli,12.90057001,77.70788521,FAMILY,0,SEMI_FURNISHED,BOTH,1020,0.0,2.0,SE,2.0,4.0,15.0,CORPORATION,AP,2.0,22000.0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,15,12,2017,15
BHK2,agara,12.9243632,77.6532669,ANYONE,1,SEMI_FURNISHED,BOTH,1084,10.0,2.0,E,2.0,0.0,4.0,CORPORATION,AP,3.0,24000.0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,6,8,2018,8
BHK2,Doddanekkundi,12.9746806,77.70353616,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1285,3.0,2.0,W,2.0,0.0,5.0,BOREWELL,AP,0.0,27000.0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,8,9,2017,12
BHK2,Munnekollal,12.95186174,77.7066702,ANYONE,1,SEMI_FURNISHED,NONE,600,1.0,1.0,E,2.0,2.0,2.0,CORPORATION,IF,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,6,2018,1
BHK1,"Hoodi Railway Station, 1, Sadaramangala Road, Kodigehalli, Krishnarajapura, Bengaluru, Karnataka 560036, India",12.9960482,77.719061,ANYONE,1,NOT_FURNISHED,BOTH,800,1.0,1.0,W,0.0,0.0,4.0,CORP_BORE,AP,1.0,12000.0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,7,2,2018,8
BHK3,"Garudachar Palya,Mahadevapura",12.9923765,77.7026845,FAMILY,1,SEMI_FURNISHED,BOTH,1610,8.0,2.0,E,6.0,2.0,19.0,CORP_BORE,AP,3.0,36000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,17,5,2018,16
BHK2,Bommanahalli,12.90803896,77.62437345,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1100,10.0,2.0,N,2.0,1.0,2.0,CORP_BORE,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,28,5,2018,3
BHK2,Hoodi,12.98529219,77.71810454,ANYONE,1,SEMI_FURNISHED,BOTH,1200,10.0,2.0,E,2.0,0.0,1.0,CORP_BORE,IF,0.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2018,0
BHK2,Mahadevapura,12.9937143,77.6807931,ANYONE,0,SEMI_FURNISHED,BOTH,800,3.0,2.0,E,1.0,3.0,3.0,CORP_BORE,AP,0.0,16000.0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,28,4,2018,13
BHK2,Viveka Nagar,12.95216607,77.62247264,FAMILY,1,SEMI_FURNISHED,NONE,800,12.0,1.0,E,2.0,0.0,0.0,CORPORATION,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24,9,2017,3
