type,locality,latitude,longitude,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,lift,gym,internet,ac,club,intercom,pool,cpa,fs,servant,security,sc,gp,park,rwh,stp,hk,pb,vp,activation_day,activation_month,activation_year,Total_amenities
2,Bellandur,12.92955671,77.6722797,4,1,1,3,1400,4.0,2.0,5,2.0,3.0,4.0,1,1,2.0,22000.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,10,9,2017,8
3,Thiruvanmiyur,12.98287026,80.26201214,2,0,1,3,1350,6.0,3.0,2,3.0,1.0,5.0,2,1,3.0,28000.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,6,12,2018,6
1,Attiguppe,12.95599061,77.53163369,2,1,1,1,600,3.0,1.0,2,1.0,1.0,2.0,1,2,0.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,2018,0
3,Kodihalli,12.96390329,77.64944586,2,1,1,3,1500,15.0,3.0,2,4.0,0.0,0.0,1,2,1.0,45000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,31,5,2018,3
1,"Seetharampalya,Hoodi",12.9861959,77.7183141,2,1,1,3,1080,0.0,2.0,2,1.0,3.0,5.0,2,1,2.0,18000.0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,24,10,2017,8
3,"Narayanappa Garden,Whitefield",12.9671442,77.7506621,4,1,2,3,1895,5.0,3.0,5,5.0,3.0,9.0,1,1,3.0,32000.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7,12,2018,18
2,HSR Layout 5th Sector,12.91741383,77.63176379,4,1,1,3,1000,10.0,2.0,4,2.0,0.0,2.0,2,2,0.0,22000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,30,7,2018,3
2,Banashankari,12.92330118,77.55632407,4,0,1,0,900,10.0,2.0,4,2.0,0.0,1.0,1,2,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,26,3,2018,4
2,Whitefield,12.97269719,77.75188033,4,1,1,3,1290,4.0,2.0,2,4.0,2.0,4.0,2,1,2.0,19500.0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,3,10,2018,13
2,RR Nagar,12.91203861,77.51095016,2,1,1,3,1200,2.0,2.0,2,4.0,1.0,2.0,1,3,1.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,2017,0
2,ITPL Residential Flats,12.9861748,77.7359562,4,1,2,2,1300,8.0,2.0,1,2.0,1.0,4.0,1,1,2.0,32000.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,11,5,2017,13
2,Raja Rajeshwari Nagar,12.92503445,77.51711461,4,1,1,3,930,7.0,2.0,2,2.0,1.0,4.0,1,1,1.0,11000.0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,27,8,2017,11
2,"Prestige Shanthinikethan, Bengaluru, Karnataka, India",12.9890022,77.7273703,2,0,1,2,1418,4.0,2.0,2,2.0,11.0,14.0,2,1,2.0,32500.0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,10,9,2017,12
1,Murugeshpalya,12.95477496,77.65003747,1,1,1,1,600,10.0,1.0,2,1.0,2.0,2.0,1,2,0.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,5,2018,3
2,Sheshadripuram,12.98651659,77.57478136,2,1,0,1,1200,2.0,1.0,2,0.0,1.0,3.0,2,3,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11,2018,2
3,Cox Town,12.99852641,77.63100653,2,0,1,1,1200,3.0,2.0,2,2.0,1.0,3.0,1,2,2.0,18500.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,15,7,2018,5
